Product_Name,Brand,Category,Usage_Frequency,Price,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender,Packaging_Type,Ingredients,Cruelty_Free,Country_of_Origin,Price_IDR,combined_features,Image_URL
magic lip liner,bite beauty,eye shadow,weekly,128.5,2.5,1459,30ml,normal,female,Jar,retinol,False,Italy,1927500.0,eye shadow normal weekly retinol,
perfect setting spray,yves saint laurent,bb cream,occasional,71.7,3.0,3527,150ml,oily,female,Bottle,retinol,False,USA,1075500.0,bb cream oily occasional retinol,
divine primer,bobby brown,bronzer,weekly,122.53,2.5,5171,30ml,sensitive,unisex,Jar,shea butter,True,UK,1837950.0,bronzer sensitive weekly shea butter,
ultra setting spray,kylie cosmetics,lipstick,occasional,131.14,1.9,314,200ml,oily,female,Spray,aloe vera,True,Italy,1967099.9999999998,lipstick oily occasional aloe vera,
super moisturizer,ilia beauty,bb cream,daily,127.01,1.7,5811,200ml,sensitive,male,Spray,shea butter,True,USA,1905150.0,bb cream sensitive daily shea butter,
divine lip gloss,colourpop,mascara,monthly,54.76,4.2,8603,150ml,oily,unisex,Spray,hyaluronic acid,True,France,821400.0,mascara oily monthly hyaluronic acid,
divine concealer,bite beauty,face oil,monthly,111.15,4.4,7390,30ml,sensitive,unisex,Compact,shea butter,False,South Korea,1667250.0,face oil sensitive monthly shea butter,
super mascara,perricone md,foundation,daily,121.79,1.9,3554,150ml,dry,female,Jar,vitamin c,False,USA,1826850.0,foundation dry daily vitamin c,
perfect lip liner,fenty beauty,serum,occasional,132.68,2.6,8909,30ml,sensitive,female,Stick,retinol,True,France,1990200.0,serum sensitive occasional retinol,
perfect exfoliator,too faced,exfoliator,monthly,93.19,4.1,6341,250ml,sensitive,male,Stick,aloe vera,True,UK,1397850.0,exfoliator sensitive monthly aloe vera,
magic setting spray,perricone md,exfoliator,weekly,26.82,3.3,8774,200ml,combination,male,Stick,vitamin c,False,Italy,402300.0,exfoliator combination weekly vitamin c,
perfect cleanser,morphe,primer,daily,45.82,4.6,7995,150ml,dry,female,Jar,salicylic acid,True,Germany,687300.0,primer dry daily salicylic acid,
ultra highlighter,glossier,blush,monthly,98.39,1.1,4545,100ml,combination,female,Bottle,glycerin,True,USA,1475850.0,blush combination monthly glycerin,
perfect exfoliator,nars,setting spray,occasional,71.06,2.9,3295,250ml,sensitive,male,Spray,shea butter,False,Italy,1065900.0,setting spray sensitive occasional shea butter,
ultra mascara,colourpop,lipstick,daily,113.31,2.2,6135,150ml,dry,male,Bottle,hyaluronic acid,False,Italy,1699650.0,lipstick dry daily hyaluronic acid,
magic eye shadow,kvd beauty,eyeliner,weekly,87.21,1.9,3940,250ml,normal,female,Tube,glycerin,False,France,1308150.0,eyeliner normal weekly glycerin,
perfect lipstick,bourjois,powder,occasional,80.66,1.4,2233,50ml,combination,male,Stick,shea butter,False,Germany,1209900.0,powder combination occasional shea butter,
magic lip gloss,urban decay,highlighter,occasional,128.25,4.3,81,50ml,combination,unisex,Spray,retinol,False,USA,1923750.0,highlighter combination occasional retinol,
perfect concealer,bourjois,exfoliator,weekly,51.51,1.2,4984,150ml,sensitive,unisex,Tube,hyaluronic acid,False,UK,772650.0,exfoliator sensitive weekly hyaluronic acid,
super contour,huda beauty,face oil,monthly,29.26,4.9,7621,50ml,oily,male,Stick,shea butter,False,Australia,438900.0,face oil oily monthly shea butter,
magic bb cream,glossier,lip liner,monthly,62.63,3.9,6565,50ml,normal,male,Jar,salicylic acid,True,Japan,939450.0,lip liner normal monthly salicylic acid,
perfect setting spray,anastasia beverly hills,bb cream,monthly,114.08,4.9,6411,200ml,sensitive,unisex,Tube,salicylic acid,True,South Korea,1711200.0,bb cream sensitive monthly salicylic acid,
divine eye shadow,it cosmetics,exfoliator,occasional,42.38,4.8,7160,100ml,oily,female,Spray,aloe vera,True,Australia,635700.0,exfoliator oily occasional aloe vera,
perfect setting spray,it cosmetics,blush,weekly,109.66,4.2,8700,250ml,normal,unisex,Stick,vitamin c,True,Japan,1644900.0,blush normal weekly vitamin c,
divine mascara,too faced,lip liner,weekly,57.03,2.4,4104,30ml,normal,male,Bottle,shea butter,False,France,855450.0,lip liner normal weekly shea butter,
divine bronzer,yves saint laurent,bb cream,occasional,74.55,3.4,4087,50ml,sensitive,male,Tube,glycerin,False,Japan,1118250.0,bb cream sensitive occasional glycerin,
magic highlighter,kiehl’s,exfoliator,weekly,124.36,3.5,9131,200ml,dry,unisex,Compact,salicylic acid,True,Japan,1865400.0,exfoliator dry weekly salicylic acid,
divine setting spray,becca,concealer,monthly,62.66,4.7,2880,30ml,oily,male,Stick,shea butter,False,France,939900.0,concealer oily monthly shea butter,
super blush,yves saint laurent,foundation,occasional,74.2,2.7,479,250ml,normal,male,Stick,aloe vera,True,USA,1113000.0,foundation normal occasional aloe vera,
super makeup remover,bite beauty,cleanser,occasional,104.78,1.4,9575,150ml,combination,female,Spray,aloe vera,True,Australia,1571700.0,cleanser combination occasional aloe vera,
super eyeliner,kiehl’s,lip liner,occasional,149.89,1.2,3468,50ml,normal,female,Jar,glycerin,True,UK,2248350.0,lip liner normal occasional glycerin,
divine face oil,sisley,eye shadow,occasional,105.15,3.0,3549,100ml,oily,unisex,Compact,retinol,True,South Korea,1577250.0,eye shadow oily occasional retinol,
ultra serum,juvia’s place,face mask,occasional,110.75,2.0,7891,30ml,sensitive,unisex,Jar,shea butter,True,Australia,1661250.0,face mask sensitive occasional shea butter,
ultra blush,urban decay,cleanser,occasional,143.37,2.3,2609,200ml,dry,male,Stick,retinol,False,UK,2150550.0,cleanser dry occasional retinol,
magic concealer,shiseido,exfoliator,daily,58.27,1.2,7957,250ml,normal,female,Tube,salicylic acid,True,Australia,874050.0,exfoliator normal daily salicylic acid,
divine bb cream,milk makeup,eye shadow,monthly,29.11,4.6,3658,50ml,dry,unisex,Tube,hyaluronic acid,False,UK,436650.0,eye shadow dry monthly hyaluronic acid,
super bb cream,hourglass,cc cream,occasional,10.09,1.7,6527,250ml,normal,female,Jar,glycerin,False,USA,151350.0,cc cream normal occasional glycerin,
magic makeup remover,laura mercier,face oil,daily,80.76,2.7,1886,200ml,sensitive,female,Stick,salicylic acid,False,Germany,1211400.0,face oil sensitive daily salicylic acid,
magic blush,huda beauty,serum,occasional,89.65,1.7,1897,30ml,normal,male,Compact,vitamin c,False,Japan,1344750.0,serum normal occasional vitamin c,
magic powder,fenty beauty,powder,occasional,129.88,1.7,4990,30ml,dry,unisex,Stick,vitamin c,True,USA,1948200.0,powder dry occasional vitamin c,
perfect moisturizer,morphe,exfoliator,monthly,54.83,3.9,9786,50ml,normal,male,Spray,retinol,False,South Korea,822450.0,exfoliator normal monthly retinol,
magic concealer,morphe,concealer,daily,109.48,3.4,7375,200ml,dry,female,Bottle,shea butter,False,UK,1642200.0,concealer dry daily shea butter,
super setting spray,huda beauty,lip gloss,occasional,32.34,4.2,9941,50ml,normal,male,Stick,salicylic acid,True,UK,485100.00000000006,lip gloss normal occasional salicylic acid,
ultra serum,laura mercier,bb cream,monthly,72.59,3.3,3345,250ml,combination,female,Jar,aloe vera,False,USA,1088850.0,bb cream combination monthly aloe vera,
divine eyeliner,bobby brown,face oil,daily,45.32,2.5,7766,50ml,dry,male,Bottle,glycerin,True,Italy,679800.0,face oil dry daily glycerin,
ultra face oil,bite beauty,eyeliner,occasional,97.66,1.5,9633,30ml,sensitive,male,Spray,vitamin c,True,Germany,1464900.0,eyeliner sensitive occasional vitamin c,
magic foundation,sisley,face oil,occasional,110.0,4.9,6104,50ml,normal,unisex,Tube,hyaluronic acid,True,USA,1650000.0,face oil normal occasional hyaluronic acid,
super powder,juvia’s place,blush,daily,133.91,4.8,3712,50ml,combination,female,Tube,aloe vera,True,South Korea,2008650.0,blush combination daily aloe vera,
super foundation,anastasia beverly hills,cleanser,daily,29.42,4.1,6325,150ml,dry,unisex,Stick,hyaluronic acid,True,France,441300.0,cleanser dry daily hyaluronic acid,
ultra bb cream,nars,concealer,daily,18.23,2.8,8590,100ml,sensitive,unisex,Jar,salicylic acid,False,France,273450.0,concealer sensitive daily salicylic acid,
perfect bronzer,shiseido,powder,occasional,109.41,3.3,8584,150ml,combination,male,Spray,glycerin,False,Germany,1641150.0,powder combination occasional glycerin,
magic foundation,anastasia beverly hills,lip gloss,monthly,18.83,4.2,8812,150ml,normal,male,Stick,hyaluronic acid,True,Germany,282450.0,lip gloss normal monthly hyaluronic acid,
ultra makeup remover,yves saint laurent,bronzer,weekly,93.67,2.9,1507,30ml,combination,male,Compact,hyaluronic acid,True,France,1405050.0,bronzer combination weekly hyaluronic acid,
magic serum,becca,mascara,occasional,130.2,4.5,659,50ml,combination,unisex,Compact,hyaluronic acid,True,Japan,1952999.9999999998,mascara combination occasional hyaluronic acid,
super primer,bourjois,makeup remover,occasional,115.65,3.6,7892,250ml,normal,unisex,Compact,aloe vera,True,France,1734750.0,makeup remover normal occasional aloe vera,
divine bronzer,bobby brown,exfoliator,monthly,109.23,2.7,4636,50ml,oily,male,Tube,vitamin c,False,Japan,1638450.0,exfoliator oily monthly vitamin c,
super blush,hourglass,makeup remover,occasional,23.54,4.2,5105,100ml,normal,unisex,Jar,glycerin,True,Japan,353100.0,makeup remover normal occasional glycerin,
magic lip liner,juvia’s place,moisturizer,daily,104.59,3.3,8677,30ml,combination,female,Tube,hyaluronic acid,False,Japan,1568850.0,moisturizer combination daily hyaluronic acid,
ultra blush,rms beauty,lipstick,occasional,24.49,1.7,6568,100ml,dry,unisex,Bottle,retinol,True,USA,367350.0,lipstick dry occasional retinol,
ultra bb cream,bobby brown,setting spray,weekly,32.18,1.3,8503,200ml,normal,male,Bottle,glycerin,True,Germany,482700.0,setting spray normal weekly glycerin,
super foundation,bobby brown,contour,occasional,37.6,2.2,459,250ml,sensitive,male,Jar,hyaluronic acid,True,Japan,564000.0,contour sensitive occasional hyaluronic acid,
magic face oil,laura mercier,eye shadow,daily,84.5,2.9,2929,100ml,dry,male,Bottle,salicylic acid,False,Italy,1267500.0,eye shadow dry daily salicylic acid,
perfect primer,bourjois,concealer,occasional,124.63,4.2,2612,150ml,combination,female,Compact,shea butter,False,Germany,1869450.0,concealer combination occasional shea butter,
divine makeup remover,e.l.f.,lip gloss,occasional,26.74,2.0,6988,30ml,oily,male,Tube,hyaluronic acid,True,South Korea,401100.0,lip gloss oily occasional hyaluronic acid,
perfect blush,glossier,eyeliner,daily,106.68,1.3,740,200ml,oily,male,Bottle,vitamin c,False,Germany,1600200.0,eyeliner oily daily vitamin c,
super eyeliner,fenty beauty,highlighter,daily,126.54,4.3,3709,50ml,sensitive,male,Jar,shea butter,False,South Korea,1898100.0,highlighter sensitive daily shea butter,
magic contour,bobby brown,eyeliner,monthly,70.49,3.6,6057,30ml,dry,female,Jar,hyaluronic acid,False,Germany,1057350.0,eyeliner dry monthly hyaluronic acid,
magic eye shadow,kvd beauty,contour,weekly,21.87,1.9,6373,100ml,sensitive,female,Jar,aloe vera,False,Italy,328050.0,contour sensitive weekly aloe vera,
super face oil,hourglass,foundation,monthly,129.02,4.1,6602,150ml,sensitive,female,Stick,vitamin c,False,Germany,1935300.0000000002,foundation sensitive monthly vitamin c,
divine highlighter,farsali,eyeliner,daily,72.98,2.8,7797,200ml,oily,female,Stick,salicylic acid,False,Germany,1094700.0,eyeliner oily daily salicylic acid,
perfect cc cream,milk makeup,highlighter,weekly,61.9,1.4,7123,100ml,sensitive,female,Jar,shea butter,True,Italy,928500.0,highlighter sensitive weekly shea butter,
divine mascara,juvia’s place,bronzer,weekly,62.68,1.9,3358,150ml,combination,unisex,Jar,vitamin c,False,Italy,940200.0,bronzer combination weekly vitamin c,
perfect face oil,tarte,bronzer,weekly,11.9,4.5,2458,150ml,combination,female,Bottle,glycerin,True,Japan,178500.0,bronzer combination weekly glycerin,
divine setting spray,morphe,face oil,daily,134.71,4.7,2210,50ml,oily,unisex,Compact,shea butter,False,Japan,2020650.0000000002,face oil oily daily shea butter,
magic eyeliner,natasha denona,serum,weekly,120.23,1.3,9000,200ml,oily,female,Tube,retinol,True,South Korea,1803450.0,serum oily weekly retinol,
perfect bb cream,milk makeup,concealer,monthly,45.47,2.2,1475,200ml,normal,unisex,Stick,shea butter,False,Australia,682050.0,concealer normal monthly shea butter,
divine makeup remover,kvd beauty,mascara,weekly,63.95,3.8,4469,50ml,combination,unisex,Bottle,glycerin,False,Australia,959250.0,mascara combination weekly glycerin,
divine powder,kiehl’s,lip gloss,daily,78.67,1.3,9210,50ml,combination,unisex,Jar,shea butter,True,Italy,1180050.0,lip gloss combination daily shea butter,
magic moisturizer,nars,cc cream,weekly,46.66,1.3,5259,100ml,sensitive,female,Tube,salicylic acid,False,South Korea,699900.0,cc cream sensitive weekly salicylic acid,
perfect face mask,ilia beauty,lipstick,daily,119.82,1.0,7361,250ml,dry,female,Tube,salicylic acid,False,UK,1797300.0,lipstick dry daily salicylic acid,
divine cleanser,perricone md,cleanser,occasional,89.35,1.8,3007,30ml,dry,male,Compact,aloe vera,True,Australia,1340250.0,cleanser dry occasional aloe vera,
perfect lip gloss,yves saint laurent,face mask,weekly,119.66,2.3,1805,150ml,oily,female,Jar,shea butter,False,Germany,1794900.0,face mask oily weekly shea butter,
magic face mask,fenty beauty,mascara,occasional,110.01,1.8,3960,50ml,combination,female,Stick,glycerin,True,UK,1650150.0,mascara combination occasional glycerin,
ultra blush,becca,setting spray,weekly,35.92,1.9,7664,200ml,combination,unisex,Spray,retinol,True,Japan,538800.0,setting spray combination weekly retinol,
super makeup remover,natasha denona,primer,occasional,89.24,3.3,7680,30ml,combination,unisex,Tube,hyaluronic acid,False,Germany,1338600.0,primer combination occasional hyaluronic acid,
magic concealer,rms beauty,bronzer,weekly,15.86,3.2,4153,30ml,dry,unisex,Compact,vitamin c,False,Japan,237900.0,bronzer dry weekly vitamin c,
magic concealer,yves saint laurent,bronzer,occasional,93.65,3.8,9887,200ml,normal,unisex,Compact,salicylic acid,True,Japan,1404750.0,bronzer normal occasional salicylic acid,
divine primer,perricone md,bb cream,monthly,41.91,3.5,9778,100ml,sensitive,female,Stick,aloe vera,True,Australia,628650.0,bb cream sensitive monthly aloe vera,
super mascara,bourjois,face mask,occasional,83.01,4.2,1312,200ml,normal,unisex,Tube,salicylic acid,False,Australia,1245150.0,face mask normal occasional salicylic acid,
magic lip gloss,bite beauty,face mask,occasional,89.63,2.4,4183,50ml,oily,male,Jar,glycerin,True,Australia,1344450.0,face mask oily occasional glycerin,
perfect moisturizer,drunk elephant,foundation,daily,138.8,3.5,3400,100ml,normal,female,Stick,vitamin c,True,South Korea,2082000.0000000002,foundation normal daily vitamin c,
perfect moisturizer,clinique,blush,daily,103.81,3.0,8564,100ml,sensitive,male,Tube,vitamin c,True,South Korea,1557150.0,blush sensitive daily vitamin c,
perfect bronzer,shiseido,contour,weekly,100.68,2.8,2992,250ml,oily,male,Bottle,salicylic acid,False,Japan,1510200.0,contour oily weekly salicylic acid,
super eyeliner,becca,powder,monthly,57.65,1.2,2772,50ml,sensitive,male,Bottle,salicylic acid,True,Australia,864750.0,powder sensitive monthly salicylic acid,
magic contour,kylie cosmetics,powder,occasional,69.5,2.1,3878,150ml,combination,female,Jar,retinol,True,South Korea,1042500.0,powder combination occasional retinol,
magic lip gloss,kylie cosmetics,setting spray,occasional,92.89,3.4,3409,250ml,normal,female,Tube,hyaluronic acid,True,France,1393350.0,setting spray normal occasional hyaluronic acid,
divine cc cream,too faced,foundation,weekly,68.84,3.4,5630,150ml,combination,unisex,Tube,aloe vera,True,Germany,1032600.0,foundation combination weekly aloe vera,
divine powder,rms beauty,blush,monthly,87.82,1.1,1117,100ml,combination,male,Bottle,shea butter,True,South Korea,1317300.0,blush combination monthly shea butter,
super serum,make up for ever,cc cream,weekly,111.36,4.4,5991,30ml,dry,female,Bottle,vitamin c,False,Germany,1670400.0,cc cream dry weekly vitamin c,
perfect mascara,farsali,exfoliator,daily,77.46,4.0,2559,30ml,oily,male,Compact,shea butter,True,UK,1161900.0,exfoliator oily daily shea butter,
super cleanser,bite beauty,makeup remover,weekly,108.43,1.6,171,50ml,sensitive,unisex,Stick,retinol,True,France,1626450.0,makeup remover sensitive weekly retinol,
divine bronzer,morphe,primer,occasional,147.59,1.5,579,150ml,combination,male,Jar,glycerin,True,France,2213850.0,primer combination occasional glycerin,
magic cc cream,danessa myricks,mascara,weekly,68.64,1.6,2727,30ml,sensitive,unisex,Tube,salicylic acid,False,France,1029600.0,mascara sensitive weekly salicylic acid,
divine face mask,nars,eyeliner,daily,43.61,1.1,814,250ml,dry,female,Spray,retinol,False,Italy,654150.0,eyeliner dry daily retinol,
divine cleanser,charlotte tilbury,eye shadow,occasional,42.74,4.8,2501,150ml,dry,male,Compact,glycerin,False,USA,641100.0,eye shadow dry occasional glycerin,
divine moisturizer,farsali,concealer,weekly,62.06,4.6,3691,200ml,dry,unisex,Spray,hyaluronic acid,True,Germany,930900.0,concealer dry weekly hyaluronic acid,
magic primer,laura mercier,cc cream,daily,34.25,3.7,6202,150ml,oily,female,Stick,vitamin c,True,France,513750.0,cc cream oily daily vitamin c,
magic highlighter,glossier,foundation,monthly,20.43,2.0,1047,100ml,dry,unisex,Jar,shea butter,True,USA,306450.0,foundation dry monthly shea butter,
perfect setting spray,too faced,lip liner,monthly,106.23,2.9,5331,150ml,normal,female,Compact,salicylic acid,True,USA,1593450.0,lip liner normal monthly salicylic acid,
magic mascara,huda beauty,primer,monthly,117.05,3.5,9825,50ml,dry,male,Spray,vitamin c,True,France,1755750.0,primer dry monthly vitamin c,
super cleanser,bobby brown,exfoliator,occasional,35.05,3.5,7174,250ml,combination,female,Bottle,hyaluronic acid,True,France,525750.0,exfoliator combination occasional hyaluronic acid,
super powder,bite beauty,face mask,monthly,51.68,2.8,9105,250ml,dry,male,Compact,aloe vera,False,USA,775200.0,face mask dry monthly aloe vera,
magic mascara,natasha denona,mascara,weekly,136.51,4.5,8874,50ml,combination,unisex,Compact,salicylic acid,False,South Korea,2047649.9999999998,mascara combination weekly salicylic acid,
super highlighter,bobby brown,setting spray,weekly,134.86,2.1,6540,30ml,combination,female,Spray,shea butter,True,Italy,2022900.0000000002,setting spray combination weekly shea butter,
divine setting spray,bite beauty,blush,daily,78.25,3.3,489,100ml,sensitive,unisex,Compact,vitamin c,False,Japan,1173750.0,blush sensitive daily vitamin c,
ultra concealer,nars,lip gloss,weekly,28.74,3.3,9878,150ml,dry,female,Bottle,glycerin,False,Italy,431100.0,lip gloss dry weekly glycerin,
ultra bronzer,charlotte tilbury,lipstick,monthly,95.64,1.5,3163,50ml,normal,male,Compact,salicylic acid,True,UK,1434600.0,lipstick normal monthly salicylic acid,
super bb cream,glossier,lipstick,occasional,71.5,4.3,3155,30ml,normal,male,Stick,salicylic acid,True,Japan,1072500.0,lipstick normal occasional salicylic acid,
perfect lip gloss,farsali,bb cream,daily,123.65,1.1,1623,150ml,oily,unisex,Spray,salicylic acid,True,USA,1854750.0,bb cream oily daily salicylic acid,
divine mascara,kylie cosmetics,makeup remover,monthly,117.23,2.3,4814,50ml,sensitive,unisex,Spray,hyaluronic acid,True,Italy,1758450.0,makeup remover sensitive monthly hyaluronic acid,
super lipstick,glossier,eye shadow,monthly,16.84,4.9,8003,30ml,combination,unisex,Tube,vitamin c,True,UK,252600.0,eye shadow combination monthly vitamin c,
divine mascara,bobby brown,bronzer,daily,23.43,4.8,5429,250ml,dry,female,Tube,hyaluronic acid,False,Germany,351450.0,bronzer dry daily hyaluronic acid,
super highlighter,shiseido,eyeliner,occasional,149.34,3.4,3109,30ml,dry,unisex,Stick,hyaluronic acid,False,South Korea,2240100.0,eyeliner dry occasional hyaluronic acid,
super exfoliator,kiehl’s,mascara,weekly,133.32,3.0,5107,30ml,oily,female,Stick,retinol,False,USA,1999800.0,mascara oily weekly retinol,
divine lip gloss,natasha denona,eye shadow,weekly,91.41,2.3,2207,150ml,sensitive,female,Stick,aloe vera,True,Australia,1371150.0,eye shadow sensitive weekly aloe vera,
super bb cream,bobby brown,concealer,occasional,134.73,4.1,8073,200ml,combination,unisex,Bottle,salicylic acid,True,UK,2020949.9999999998,concealer combination occasional salicylic acid,
super bb cream,farsali,concealer,weekly,26.66,3.7,2184,100ml,dry,unisex,Spray,retinol,True,UK,399900.0,concealer dry weekly retinol,
ultra primer,nars,lip liner,monthly,55.6,2.1,1475,100ml,normal,male,Stick,shea butter,True,France,834000.0,lip liner normal monthly shea butter,
ultra blush,shiseido,mascara,occasional,129.42,4.4,2467,50ml,combination,unisex,Compact,glycerin,False,Japan,1941299.9999999998,mascara combination occasional glycerin,
divine foundation,urban decay,cleanser,occasional,71.43,2.2,5066,150ml,sensitive,male,Stick,glycerin,True,Japan,1071450.0,cleanser sensitive occasional glycerin,
super eyeliner,e.l.f.,eye shadow,daily,95.41,1.3,6248,100ml,combination,female,Compact,aloe vera,False,USA,1431150.0,eye shadow combination daily aloe vera,
divine foundation,charlotte tilbury,blush,monthly,108.25,4.3,1486,30ml,dry,female,Compact,aloe vera,False,France,1623750.0,blush dry monthly aloe vera,
magic mascara,colourpop,mascara,weekly,103.21,2.8,8735,150ml,dry,unisex,Stick,salicylic acid,True,Italy,1548150.0,mascara dry weekly salicylic acid,
perfect mascara,clinique,face mask,occasional,140.29,3.2,5264,150ml,sensitive,male,Spray,salicylic acid,False,Japan,2104350.0,face mask sensitive occasional salicylic acid,
divine mascara,kvd beauty,face mask,monthly,26.99,2.5,4868,200ml,normal,female,Spray,shea butter,True,Germany,404850.0,face mask normal monthly shea butter,
super highlighter,danessa myricks,lip liner,weekly,28.38,2.1,7379,100ml,sensitive,male,Bottle,glycerin,False,France,425700.0,lip liner sensitive weekly glycerin,
divine concealer,glossier,foundation,monthly,109.23,2.2,7927,100ml,oily,unisex,Tube,glycerin,False,Italy,1638450.0,foundation oily monthly glycerin,
perfect lip liner,patrick ta,lip gloss,monthly,35.83,1.3,6028,150ml,oily,female,Stick,retinol,False,Italy,537450.0,lip gloss oily monthly retinol,
super lipstick,urban decay,cleanser,daily,89.38,1.1,2343,100ml,normal,unisex,Compact,shea butter,False,USA,1340700.0,cleanser normal daily shea butter,
ultra bronzer,juvia’s place,highlighter,occasional,109.71,4.2,6779,250ml,combination,male,Jar,hyaluronic acid,False,Australia,1645650.0,highlighter combination occasional hyaluronic acid,
divine moisturizer,colourpop,eye shadow,daily,115.3,3.1,7733,50ml,dry,male,Compact,hyaluronic acid,False,USA,1729500.0,eye shadow dry daily hyaluronic acid,
super foundation,anastasia beverly hills,bronzer,daily,32.52,2.4,7187,30ml,dry,male,Bottle,aloe vera,True,Italy,487800.00000000006,bronzer dry daily aloe vera,
perfect highlighter,rms beauty,primer,monthly,132.64,1.5,2321,30ml,normal,female,Bottle,aloe vera,False,Japan,1989599.9999999998,primer normal monthly aloe vera,
super contour,pat mcgrath labs,contour,monthly,95.82,2.5,5321,250ml,sensitive,male,Stick,retinol,True,France,1437300.0,contour sensitive monthly retinol,
ultra blush,sisley,bronzer,monthly,68.83,3.4,7063,100ml,oily,male,Stick,hyaluronic acid,False,Japan,1032450.0,bronzer oily monthly hyaluronic acid,
ultra mascara,anastasia beverly hills,face oil,occasional,135.81,4.8,5717,150ml,sensitive,male,Tube,shea butter,True,France,2037150.0,face oil sensitive occasional shea butter,
magic lip gloss,farsali,setting spray,occasional,115.86,3.3,6635,250ml,oily,male,Compact,hyaluronic acid,False,South Korea,1737900.0,setting spray oily occasional hyaluronic acid,
perfect face mask,too faced,powder,daily,55.01,1.6,6526,100ml,sensitive,unisex,Spray,shea butter,False,USA,825150.0,powder sensitive daily shea butter,
divine lip gloss,ilia beauty,blush,occasional,125.98,1.0,9313,100ml,normal,male,Stick,hyaluronic acid,True,Italy,1889700.0,blush normal occasional hyaluronic acid,
magic eye shadow,morphe,face mask,weekly,24.61,3.7,664,50ml,sensitive,female,Stick,vitamin c,False,Germany,369150.0,face mask sensitive weekly vitamin c,
perfect lip gloss,patrick ta,blush,weekly,108.91,2.7,4764,30ml,dry,female,Spray,vitamin c,False,Australia,1633650.0,blush dry weekly vitamin c,
ultra blush,bobby brown,powder,daily,112.05,4.1,4336,100ml,oily,unisex,Bottle,aloe vera,True,USA,1680750.0,powder oily daily aloe vera,
ultra face oil,e.l.f.,makeup remover,weekly,86.56,4.4,1432,200ml,dry,unisex,Compact,glycerin,False,Germany,1298400.0,makeup remover dry weekly glycerin,
ultra foundation,kylie cosmetics,concealer,monthly,45.24,2.6,5185,50ml,oily,male,Compact,vitamin c,True,South Korea,678600.0,concealer oily monthly vitamin c,
ultra contour,rms beauty,face oil,weekly,118.32,1.8,5680,100ml,dry,male,Spray,aloe vera,True,UK,1774800.0,face oil dry weekly aloe vera,
divine exfoliator,sisley,eyeliner,weekly,142.6,4.8,1093,250ml,dry,unisex,Bottle,aloe vera,False,UK,2139000.0,eyeliner dry weekly aloe vera,
ultra bronzer,fenty beauty,lipstick,monthly,96.56,3.3,1055,100ml,oily,male,Compact,aloe vera,False,UK,1448400.0,lipstick oily monthly aloe vera,
magic primer,perricone md,face oil,daily,137.98,3.2,3395,200ml,combination,female,Stick,aloe vera,False,Germany,2069699.9999999998,face oil combination daily aloe vera,
ultra eyeliner,morphe,foundation,occasional,18.74,4.5,5278,200ml,sensitive,male,Jar,glycerin,True,UK,281100.0,foundation sensitive occasional glycerin,
perfect lipstick,pat mcgrath labs,powder,monthly,34.74,1.1,4702,150ml,dry,unisex,Stick,shea butter,True,UK,521100.00000000006,powder dry monthly shea butter,
magic eyeliner,juvia’s place,bronzer,daily,69.99,3.3,6457,150ml,sensitive,male,Jar,retinol,True,South Korea,1049850.0,bronzer sensitive daily retinol,
divine lipstick,shiseido,face mask,occasional,122.76,1.8,9977,50ml,dry,female,Spray,retinol,False,Australia,1841400.0,face mask dry occasional retinol,
magic foundation,e.l.f.,eyeliner,monthly,126.77,1.8,7731,200ml,oily,unisex,Compact,salicylic acid,False,South Korea,1901550.0,eyeliner oily monthly salicylic acid,
magic powder,clinique,face oil,occasional,54.06,2.4,2673,250ml,dry,male,Spray,vitamin c,True,Australia,810900.0,face oil dry occasional vitamin c,
perfect face mask,kiehl’s,exfoliator,daily,114.61,3.1,5622,50ml,combination,unisex,Bottle,salicylic acid,False,UK,1719150.0,exfoliator combination daily salicylic acid,
divine concealer,nars,setting spray,occasional,136.86,2.1,7186,250ml,dry,male,Tube,hyaluronic acid,True,Australia,2052900.0000000002,setting spray dry occasional hyaluronic acid,
super setting spray,juvia’s place,eye shadow,daily,58.38,3.0,8434,50ml,dry,female,Tube,shea butter,False,USA,875700.0,eye shadow dry daily shea butter,
perfect lip gloss,perricone md,powder,occasional,124.62,2.9,9968,30ml,normal,male,Spray,hyaluronic acid,False,Germany,1869300.0,powder normal occasional hyaluronic acid,
magic bronzer,e.l.f.,highlighter,weekly,16.36,2.4,8789,250ml,oily,male,Bottle,retinol,True,France,245400.0,highlighter oily weekly retinol,
perfect lip gloss,yves saint laurent,concealer,weekly,123.32,3.4,8185,50ml,sensitive,male,Bottle,shea butter,False,Australia,1849800.0,concealer sensitive weekly shea butter,
perfect face oil,rms beauty,makeup remover,occasional,13.25,4.3,8790,30ml,normal,unisex,Bottle,glycerin,False,Italy,198750.0,makeup remover normal occasional glycerin,
ultra makeup remover,hourglass,bb cream,occasional,77.76,1.9,4880,250ml,normal,male,Bottle,salicylic acid,False,Australia,1166400.0,bb cream normal occasional salicylic acid,
super lip gloss,drunk elephant,bronzer,occasional,18.92,4.4,5925,200ml,normal,female,Spray,aloe vera,False,Italy,283800.0,bronzer normal occasional aloe vera,
super cc cream,ilia beauty,setting spray,daily,137.57,4.4,6547,150ml,sensitive,female,Jar,hyaluronic acid,True,Australia,2063550.0,setting spray sensitive daily hyaluronic acid,
